Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
52,2025-10-10T00:55:00+11:00,2025-10-10,00:55,0,2,2
52,2025-10-10T01:06:00+11:00,2025-10-10,01:06,2,0,2
53,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,0,1
53,2025-10-10T01:02:00+11:00,2025-10-10,01:02,1,0,1
56,2025-10-10T00:55:00+11:00,2025-10-10,00:55,2,1,3
58,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,0,1
58,2025-10-10T01:01:00+11:00,2025-10-10,01:01,1,0,1
58,2025-10-10T01:03:00+11:00,2025-10-10,01:03,0,1,1
58,2025-10-10T01:04:00+11:00,2025-10-10,01:04,2,0,2
62,2025-10-10T00:58:00+11:00,2025-10-10,00:58,3,0,3
62,2025-10-10T00:59:00+11:00,2025-10-10,00:59,0,1,1
62,2025-10-10T01:04:00+11:00,2025-10-10,01:04,0,7,7
62,2025-10-10T01:08:00+11:00,2025-10-10,01:08,0,1,1
63,2025-10-10T01:01:00+11:00,2025-10-10,01:01,3,0,3
63,2025-10-10T01:03:00+11:00,2025-10-10,01:03,1,0,1
67,2025-10-10T01:05:00+11:00,2025-10-10,01:05,1,0,1
79,2025-10-10T00:56:00+11:00,2025-10-10,00:56,4,0,4
79,2025-10-10T01:05:00+11:00,2025-10-10,01:05,1,0,1
86,2025-10-10T00:57:00+11:00,2025-10-10,00:57,0,1,1
109,2025-10-10T01:05:00+11:00,2025-10-10,01:05,0,3,3
117,2025-10-10T01:00:00+11:00,2025-10-10,01:00,4,0,4
164,2025-10-10T00:55:00+11:00,2025-10-10,00:55,4,1,5
77,2025-10-10T01:05:00+11:00,2025-10-10,01:05,2,2,4
84,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,3,4
84,2025-10-10T01:05:00+11:00,2025-10-10,01:05,3,8,11
87,2025-10-10T00:58:00+11:00,2025-10-10,00:58,0,2,2
107,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,3,4
107,2025-10-10T01:00:00+11:00,2025-10-10,01:00,0,3,3
162,2025-10-10T01:00:00+11:00,2025-10-10,01:00,2,8,10
167,2025-10-10T01:00:00+11:00,2025-10-10,01:00,1,0,1
181,2025-10-10T00:55:00+11:00,2025-10-10,00:55,6,0,6
181,2025-10-10T00:56:00+11:00,2025-10-10,00:56,1,0,1
181,2025-10-10T00:57:00+11:00,2025-10-10,00:57,1,0,1
181,2025-10-10T01:03:00+11:00,2025-10-10,01:03,3,0,3
185,2025-10-10T01:00:00+11:00,2025-10-10,01:00,4,8,12
1,2025-10-10T00:55:00+11:00,2025-10-10,00:55,1,3,4
1,2025-10-10T00:58:00+11:00,2025-10-10,00:58,2,0,2
11,2025-10-10T00:58:00+11:00,2025-10-10,00:58,2,0,2
19,2025-10-10T01:01:00+11:00,2025-10-10,01:01,1,0,1
20,2025-10-10T01:01:00+11:00,2025-10-10,01:01,2,1,3
23,2025-10-10T00:56:00+11:00,2025-10-10,00:56,0,1,1
24,2025-10-10T01:07:00+11:00,2025-10-10,01:07,0,2,2
3,2025-10-10T02:44:00+11:00,2025-10-10,02:44,2,0,2
3,2025-10-10T02:45:00+11:00,2025-10-10,02:45,1,0,1
3,2025-10-10T02:54:00+11:00,2025-10-10,02:54,1,0,1
4,2025-10-10T02:48:00+11:00,2025-10-10,02:48,0,1,1
6,2025-10-10T02:41:00+11:00,2025-10-10,02:41,0,8,8
6,2025-10-10T02:48:00+11:00,2025-10-10,02:48,1,0,1
21,2025-10-10T02:50:00+11:00,2025-10-10,02:50,2,2,4
28,2025-10-10T02:45:00+11:00,2025-10-10,02:45,0,1,1
29,2025-10-10T02:40:00+11:00,2025-10-10,02:40,2,0,2
31,2025-10-10T02:54:00+11:00,2025-10-10,02:54,2,0,2
36,2025-10-10T02:46:00+11:00,2025-10-10,02:46,0,1,1
41,2025-10-10T02:42:00+11:00,2025-10-10,02:42,0,2,2
41,2025-10-10T02:44:00+11:00,2025-10-10,02:44,1,0,1
41,2025-10-10T02:54:00+11:00,2025-10-10,02:54,0,1,1
42,2025-10-10T02:40:00+11:00,2025-10-10,02:40,0,1,1
45,2025-10-10T02:42:00+11:00,2025-10-10,02:42,1,0,1
47,2025-10-10T02:53:00+11:00,2025-10-10,02:53,1,0,1
54,2025-10-10T02:48:00+11:00,2025-10-10,02:48,4,0,4
59,2025-10-10T02:40:00+11:00,2025-10-10,02:40,10,0,10
59,2025-10-10T02:45:00+11:00,2025-10-10,02:45,4,0,4
61,2025-10-10T02:41:00+11:00,2025-10-10,02:41,5,2,7
61,2025-10-10T02:44:00+11:00,2025-10-10,02:44,2,0,2
66,2025-10-10T02:43:00+11:00,2025-10-10,02:43,1,0,1
66,2025-10-10T02:45:00+11:00,2025-10-10,02:45,1,0,1
108,2025-10-10T02:45:00+11:00,2025-10-10,02:45,0,2,2
108,2025-10-10T02:48:00+11:00,2025-10-10,02:48,1,0,1
133,2025-10-10T02:45:00+11:00,2025-10-10,02:45,2,0,2
134,2025-10-10T02:40:00+11:00,2025-10-10,02:40,0,2,2
135,2025-10-10T02:50:00+11:00,2025-10-10,02:50,1,1,2
143,2025-10-10T02:45:00+11:00,2025-10-10,02:45,1,2,3
143,2025-10-10T02:50:00+11:00,2025-10-10,02:50,5,0,5
162,2025-10-10T02:45:00+11:00,2025-10-10,02:45,2,0,2
166,2025-10-10T02:40:00+11:00,2025-10-10,02:40,1,0,1
181,2025-10-10T02:40:00+11:00,2025-10-10,02:40,0,1,1
181,2025-10-10T02:42:00+11:00,2025-10-10,02:42,0,1,1
181,2025-10-10T02:45:00+11:00,2025-10-10,02:45,0,2,2
181,2025-10-10T02:46:00+11:00,2025-10-10,02:46,2,1,3
181,2025-10-10T02:47:00+11:00,2025-10-10,02:47,1,1,2
181,2025-10-10T02:49:00+11:00,2025-10-10,02:49,2,0,2
182,2025-10-10T02:40:00+11:00,2025-10-10,02:40,1,0,1
184,2025-10-10T02:45:00+11:00,2025-10-10,02:45,1,5,6
184,2025-10-10T02:50:00+11:00,2025-10-10,02:50,0,1,1
185,2025-10-10T02:45:00+11:00,2025-10-10,02:45,4,5,9
2,2025-10-10T02:44:00+11:00,2025-10-10,02:44,0,1,1
12,2025-10-10T02:46:00+11:00,2025-10-10,02:46,0,1,1
20,2025-10-10T02:41:00+11:00,2025-10-10,02:41,0,1,1
20,2025-10-10T02:42:00+11:00,2025-10-10,02:42,1,0,1
20,2025-10-10T02:43:00+11:00,2025-10-10,02:43,1,0,1
24,2025-10-10T02:40:00+11:00,2025-10-10,02:40,0,1,1
24,2025-10-10T02:50:00+11:00,2025-10-10,02:50,0,1,1
27,2025-10-10T02:40:00+11:00,2025-10-10,02:40,2,0,2
30,2025-10-10T02:44:00+11:00,2025-10-10,02:44,3,0,3
35,2025-10-10T02:43:00+11:00,2025-10-10,02:43,1,2,3
49,2025-10-10T02:42:00+11:00,2025-10-10,02:42,2,2,4
49,2025-10-10T02:47:00+11:00,2025-10-10,02:47,4,1,5
49,2025-10-10T02:54:00+11:00,2025-10-10,02:54,1,0,1
51,2025-10-10T02:46:00+11:00,2025-10-10,02:46,0,3,3
52,2025-10-10T02:48:00+11:00,2025-10-10,02:48,1,0,1
56,2025-10-10T02:40:00+11:00,2025-10-10,02:40,1,0,1
