GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation
1363125,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Bourke Street between Enterprize Way and Cumberland Street approximately 29m West of Tsukino Snizuku, 817 Bourke Street, Docklands, 3008",3.16,2021-04-30,319049.25,5812181.62,2021-08-14,"-37.81984950014015, 144.94412465122866"
1475090,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Flinders Lane between Spring Street and Exhibition Street approximately 18m SW of Secure Parking Management No. 2 Pty Ltd, Bmt, Gnd & Lvl 1-3, 12-20 Flinders Lane, Melbourne, 3000",3.17,2021-04-30,321626.28,5812822.02,2021-08-14,"-37.81458838446239, 144.97354443366643"
1475103,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Flinders Lane between Spring Street and Exhibition Street approximately 31m NE of Tom Thumb Espresso, 55 Flinders Lane, Melbourne, 3000",2.17,2021-04-30,321591.39,5812808.03,2021-08-14,"-37.81470758140537, 144.97314483909375"
1475110,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Flinders Lane between Exhibition Street and Russell Street approximately 2m North of Tazio, Basement & Ground - Lvl 1, 91 Flinders Lane, Melbourne, 3000",3.17,2021-04-30,321420.08,5812741.42,2021-08-14,"-37.8152740743788, 144.9711833238853"
1475124,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Flinders Lane between Exhibition Street and Russell Street approximately 3m West of Chin Chin Restaurant, Gnd & Mezz, 125 Flinders Lane, Melbourne, 3000",3.17,2021-04-30,321345.1,5812711.4,2021-08-14,"-37.81552980797338, 144.9703245733892"
1373788,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Outdoor Furniture,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Infrastructure and Assets,City of Melbourne,"Lonsdale Street between Russell Street and Swanston Street approximately 4m North of Auspacific Property Investment Pty Ltd, 193 Lonsdale Street, Melbourne, 3000",3.4,2021-04-30,321009.02,5813194.2,2021-08-14,"-37.811115148970096, 144.96662794395766"
1475138,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Little Collins Street between Spring Street and Exhibition Street approximately 5m NE of Saki Sushi Bar, 5 Little Collins Street, Melbourne, 3000",3.09,2021-04-30,321596.62,5813058.96,2021-08-14,"-37.812448343305704, 144.97326603661844"
1475154,Bollard - Aluminium Bollard - Rectangular,Outdoor Furniture,Bollard,200401-003,Bollard - Aluminium Bollard - Rectangular,Infrastructure and Assets,City of Melbourne,"Little Collins Street between Spring Street and Exhibition Street approximately 21m West of Lupino, Ground, 41 Little Collins Street, Melbourne, 3000",3.09,2021-04-30,321493.96,5813019.8,2021-08-14,"-37.812781010071745, 144.97209079705547"
1475174,Bollard - Removable Traffic Bollard - Flipper Type 1,Outdoor Furniture,Bollard,200401-053,Bollard - Removable Traffic Bollard - Flipper Type 1,Infrastructure and Assets,City of Melbourne,"Gorman Alley approximately 2m East of Flex By ISPT, 27-29 Little Lonsdale Street, Melbourne, 3000",1.0,2021-04-30,321376.46,5813470.3,2021-08-14,"-37.8087001371565, 144.97086781210885"
1376578,Bollard - Cast Iron Bollard,Outdoor Furniture,Bollard,200401-016,Bollard - Cast Iron Bollard,Infrastructure and Assets,City of Melbourne,"Vaughan Terrace between MacAulay Road and Canning Street approximately 16m West of 14 Vaughan Terrace, North Melbourne, 3051",3.1,2021-04-30,318627.55,5814825.72,2021-08-14,"-37.7959494520354, 144.93999834736178"
1475558,Bollard - Cast Iron Bollard,Outdoor Furniture,Bollard,200401-016,Bollard - Cast Iron Bollard,Infrastructure and Assets,City of Melbourne,"Little Collins Street between Elizabeth Street and Queen Street approximately 11m SE of In A Rush Espresso, Ground, 384 Little Collins Street, Melbourne, 3000",3.16,2021-04-30,320607.11,5812668.88,2021-08-14,"-37.815768067204914, 144.96193469456006"
1475560,Bollard - Cast Iron Bollard,Outdoor Furniture,Bollard,200401-016,Bollard - Cast Iron Bollard,Infrastructure and Assets,City of Melbourne,"Kings Domain South approximately 55m SE of E Gate Lodge, E Gate Lodge, Royal Botanic Gardens Victoria, Birdwood Avenue, Melbourne, 3004",3.0,2021-04-30,322305.98,5810752.52,2021-08-14,"-37.8333620959801, 144.9807538634055"
1477469,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Southern Cross Station approximately 5m South of Pie Face, Shop 2, Ground, 650 Collins Street, Docklands, 3008",3.16,2021-04-30,319848.45,5812266.85,2021-08-14,"-37.81923990330066, 144.95322064812297"
1377528,Litter Bin - Steel 80 L Litter Bin,Outdoor Furniture,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Waste and Recycling,City of Melbourne,"Russell Street between MacKenzie Street and Victoria Street approximately 29m East of Old Melbourne Gaol, 377 Russell Street, Melbourne, 3000",2.12,2021-04-30,320936.59,5813576.93,2021-08-14,"-37.807653505792366, 144.9659002136749"
1477471,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Southern Cross Station approximately 7m SW of Pie Face, Shop 2, Ground, 650 Collins Street, Docklands, 3008",3.16,2021-04-30,319845.45,5812265.91,2021-08-14,"-37.819247778103765, 144.95318634991898"
1477480,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Kay Street between Canning Street and Rathdowne Street approximately 3m NW of 121 Kay Street, Carlton, 3053",2.91,2021-04-30,321377.39,5814979.29,2021-08-14,"-37.79510803309884, 144.9712503422774"
1377642,Bollard - Concrete Filled Bollard - White,Outdoor Furniture,Bollard,200401-030,Bollard - Concrete Filled Bollard - White,Infrastructure and Assets,City of Melbourne,"Speakmen Street between Stockmans Way and Smithfield Road approximately 44m West of Council Reserve No.17 PS340235Y, Reserve, 219 Stockmans Way, Kensington, 3031",3.14,2021-04-30,316562.44,5814970.0,2021-08-14,"-37.79423751364994, 144.91659380996595"
1378372,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Peel Street between Victoria Street and Princess Street approximately 4m West of Ms Studio, 118 Peel Street, North Melbourne, 3051",3.17,2021-04-30,320083.67,5813819.52,2021-08-14,"-37.805300722053296, 144.95627722743507"
1477495,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Therry Street between Elizabeth Street and Queen Street approximately 31m West of McDonalds, 501-503 Elizabeth Street, Melbourne, 3000",3.16,2021-04-30,320366.91,5813602.16,2021-08-14,"-37.80731434815387, 144.95943886313452"
1378403,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Rathdowne Street between Elgin Street and Palmerston Street approximately 15m North of 409 Rathdowne Street, Carlton, 3053",3.09,2021-04-30,321316.79,5814810.06,2021-08-14,"-37.79662052805292, 144.97052074220625"
1378404,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Rathdowne Street between Elgin Street and Palmerston Street approximately 15m North of 409 Rathdowne Street, Carlton, 3053",3.09,2021-04-30,321315.18,5814810.13,2021-08-14,"-37.79661958257536, 144.97050248366511"
1431922,Bollard - Wooden Permanent Style,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,Royal Park,3.0,2019-09-09,319943.2,5816142.48,2021-08-14,"-37.78434906636609, 144.95525953204816"
1477579,Bollard - Stainless Steel Bollard - Docklands,Outdoor Furniture,Bollard,200401-058,Bollard - Stainless Steel Bollard - Docklands,Infrastructure and Assets,City of Melbourne,"NewQuay Promenade approximately 14m South of 76 Newquay Promenade, Docklands, 3008",3.15,2021-04-30,318688.5,5812655.23,2021-08-14,"-37.81551193804925, 144.94014701098487"
1477587,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"NewQuay Promenade approximately 12m South of City of Melbourne, 31 Doepel Way, Docklands, 3008",3.15,2021-04-30,318701.76,5812660.52,2021-08-14,"-37.81546692293423, 144.9402988908299"
1477593,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Bourke Street between Russell Street and Swanston Street approximately 8m NW of Mountfords, Ground, 209-211 Bourke Street, Melbourne, 3000",4.17,2021-04-30,321070.69,5812972.39,2021-08-14,"-37.8131251918596, 144.96727332330917"
1479848,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,"Bayswater Road between Belmont Road and Westbourne Road approximately 2m SE of 66A Bayswater Road, Kensington, 3031",2.4,2021-04-30,317149.87,5815047.33,2021-08-14,"-37.79365875095918, 144.92328106365977"
1431535,Bollard - Wooden Removable Style,Outdoor Furniture,Bollard,200401-000,Bollard - Unknown Type,Parks and City Greening,City of Melbourne,"Batman Park approximately 46m South of 86 Rebecca Walk, Melbourne, 3000",4.0,2019-09-18,320074.33,5811971.59,2021-08-14,"-37.82194399314209, 144.9557120847281"
1479874,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,"Victoria Harbour Promenade approximately 30m East of Victoria Harbour Promenade, 30 Victoria Harbour Promenade, Docklands, 3008",3.16,2021-04-30,319050.89,5812304.73,2021-08-14,"-37.818740929090374, 144.94417404167413"
1431545,Bollard - Wooden post,Outdoor Furniture,Bollard,200401-107,Bollard - Round High Visibility Bollard,Parks and City Greening,City of Melbourne,"Normanby Road between Clarendon Street and West Gate Freeway approximately 75m NW of Clarendon St IGA X-Press, 42-48 Clarendon Street, Southbank, 3006",4.0,2019-08-27,320137.66,5811576.19,2021-08-14,"-37.82551801206002, 144.95633296003712"
1479881,Bicycle Rails - Stainless Steel Bicycle Rails ¿ Docklands,Outdoor Furniture,Bicycle Rails,200101-006,Bicycle Rails - Stainless Steel Bicycle Rails - Docklands,Infrastructure and Assets,City of Melbourne,"Victoria Harbour Promenade approximately 21m SE of Victoria Harbour Promenade, 30 Victoria Harbour Promenade, Docklands, 3008",3.16,2021-04-30,319041.09,5812306.05,2021-08-14,"-37.81872709640961, 144.94406309624523"
1479899,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Outdoor Furniture,Drinking Fountain,200501-014,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Infrastructure and Assets,City of Melbourne,"Bourke Street between Enterprize Way and Cumberland Street approximately 5m North of H&R Block, 831C Bourke Street, Docklands, 3008",3.44,2021-04-30,318981.59,5812156.35,2021-08-14,"-37.82006369883412, 144.94335006764553"
1431684,Bollard - Steel tube with wooden head removable,Outdoor Furniture,Bollard,200401-104,Bollard - Iron Bollard,Parks and City Greening,City of Melbourne,"Kings Domain approximately 52m West of Serco Australia Pty Limited, Kings Domain Depot, 10 Government House Drive, Melbourne, 3004",4.0,2019-08-22,321725.84,5811453.82,2021-08-14,"-37.82693193509576, 144.97433793523808"
1487308,Bollard - Cast Iron Bollard,Outdoor Furniture,Bollard,200401-016,Bollard - Cast Iron Bollard,Infrastructure and Assets,City of Melbourne,"Intersection of Victoria Street and Curzon Street approximately 24m SE of Brown Gouge Valet, 542-548 Victoria Street, North Melbourne, 3051",2.84,2021-04-30,319377.11,5813831.31,2021-08-14,"-37.805055038036116, 144.9482588622863"
